ID-taxodros|author|year|title|pagination|volume|journalOrPublisher|formatAndMeta|pubDate|libNumber|issue|editor|volumeTitle
girschner, 1888|Girschner, E.|1888|Einiges uber die Farbung der Dipterenaugen.|155-162|31|Dtsch. ent. Z.|pdf / seg 172:31(1887) / iii.1888|1888-03-31||1887||
girschner, 1894|Girschner, E.|1894|Beitrag zur Systematik der Musciden.|297-312|38|Ent. Z., Frankf.a.M.|pdf|||1893||
girschner, 1906|Girschner, E.|1906|Diptera. (Review).|304-305|25|Wien. ent. Ztg|pdf / part / seg 552 / 15.viii.1906|1906-08-15||||
given, 1968|Given, B.B.|1968|List of insects collected on Niue Island during February and March, 1959.|40-42|4|N. Z. Ent.|pdf / part / seg 530 / iii.1968|1968-03-31||||
glaetzer, 1973|Glatzer, K.H.|1973|The status of Drosophila "pseudoneohydei".|47|50|D. I. S.|pdf / xii.1973|1973-12-31||||
glancy & howland, 1938|Glancy, E.A. & Howland, R.B.|1938|Transplantation of mutant and wild type bristle-bearing tissues in Drosophila melanogaster.|99-105|75|Biol. Bull., Wood's Hole|pdf / p 811763 / viii.1938|1938-08-31|p 811763|||
glaser, 1924|Glaser, R.W.|1924|The relation of microorganisms to the development and longevity of flies.|85-107|4|Am. J. trop. Med.|pdf / part / ge 51 / i.1924|1924-01-31||||
glass, 1960|Glass, B.|1960|The Influence of Immediate Versus Delayed Mating on the Life Span of Drosophila.|185-187|6|Am. Inst. Biol. Sci. Symp.|pdf||||Strehler|The Biology of Aging.
glasser et al., 1958|Glasser, R.F. & Blenk, R.G. & Dewey, J.E. & Hilton, B.D. & Weiden, M.H.J.|1958|Occurrence of a Toxic Non-Aldrin Residue in Carrots Grown on Aldrin-Treated Soil.|337-441|51|J. econ. Ent.|pdf / part / p 812978 / vi.1958|1958-06-31|p 812978|||
glassman, 1965|Glassman, E.|1965|Genetic regulation of xanthine dehydrogenase in Drosophila melanogaster.|1243-1251|24|Fed. Proc.|pdf / p 812165:24/2 / x.1965|1965-10-31|p 812165:24|||
glatthaar & schenker, 1972|Glatthaar, R. & Schenker, H.|1972|Untersuchungen zur sexuellen Aktivitat von Drosophila subobscura Collin.|160-172|45|Arch. Genet.|pdf / 191|||||
gleason & powell, 1997|Gleason, J.M. & Powell, J.R.|1997|Interspecific and Intraspecific Comparisons of the period Locus in the Drosophila willistoni Sibling Species.|741-753|14|Molec. Biol. Evol.|pdf|||||
gleason & ritchie, 1998|Gleason, J.M. & Ritchie, M.G.|1998|Evolution of courtship song and reproductive isolation in the Drosophila willistoni species complex: do sexual signals diverge the most quickly?.|1493-1500|52|Evolution|pdf|||||
gleason et al., 1997|Gleason, J.M. & Caccone, A. & Moriyama, E.N. & White, K.P. & Powell, J.R.|1997|Mitochondrial DNA phylogenies for the Drosophila obscura group.|433-440|51|Evolution|pdf|||||
gleason et al., 1998|Gleason, J.M. & Griffith, E.C. & Powell, J.R.|1998|A molecular phylogeny of the Drosophila willistoni group: Conflicts between species concepts?|1093-1103|52|Evolution|pdf|||||
gleichauf, 1936|Gleichauf, R.|1936|Anatomie und Variabilitat des Geschlechtsapparates von Drosophila melanogaster (Meigen).|1-66|148|Z. wiss. Zool.|vi.1936|1936-06-31||||
glick & noble, 1961|Glick, P.A. & Noble, L.W.|1961|Airborne Movement of the Pink Bollworm and Other Arthropods.|1-20|1255|Tech. Bull. U. S. Dep. Agric.|pdf / part / p 62737:1255 / ix.1961|1961-09-31|p 62737:1255|||
glick, 1939|Glick, P.A.|1939|The distribution of insects, spiders, and mites in the air.|1-150|673|Tech. Bull. U. S. Dep. Agric.|pdf / part / p 62737:673 / v.1939|1939-05-31|p 62737:673|||
glinka et al., 2003|Glinka, S. & Ometto, L. & Mousset, S. & Stephan, W. & De Lorenzo, D.|2003|Demography and Natural Selection Have Shaped Genetic Variation in Drosophila melanogaster: A Multi-locus Approach.|1269-1278|165|Genetics|pdf|||||
glinka et al., 2005|Glinka, S. & Stephan, W. & Das, A.|2005|Homogeneity of common cosmopolitan inversion frequencies in Southeast Asian Drosophila melanogaster.|173-178|84|J. Genet.|pdf|||||
gloor & chen, 1950|Gloor, H. & Chen, P.S.|1950|Uber ein Analorgan bei Drosophila-Larven.|570-576|57|Revue suisse Zool.|pdf / vii.1950|1950-07-31||||
gloor & kobel, 1966|Gloor, H. & Kobel, H.R.|1966|Antennapedia (ssAnp), eine homoeotische Mutante bei Drosophila hydei Sturtevant.|229-252|73|Revue suisse Zool.|pdf / part / v.1966|1966-05-31||||
gloor & staiger, 1954|Gloor, H. & Staiger, H.|1954|Lethal-polyploid - a polyploid gene in Drosophila hydei.|289-293|45|J. Hered.|pdf / xii.1954|1954-12-31||||
gloor et al., 1967|Gloor, H. & van Breugel, F.M.A. & Volkers, W.S.|1967|Some observations on variegation in Drosophila.|95-114|38|Genetica|pdf / part|||||
gloor et al., 1993|Gloor, G.B.|1993|Type I Repressors of P Element Mobility.|81-95|135|Genetics|pdf|||||
gloor, 1946|Gloor, H.|1946|Zur Entwicklungsphysiologie und Genetik des Letalfaktors crc bei Drosophila melanogaster.|209-256|20|Arch. Klaus-Stift. VererbForsch.|pdf / part / 10.iii.1946|1946-03-10||1945||
gloor, 1947|Gloor, H.|1947|Die experimentelle Erzeugung von homoeotischen Modifikationen im Metathorax der Drosophila melanogaster.|308-311|21|Arch. Klaus-Stift. VererbForsch.|pdf / 15.ii.1947|1947-02-15||1946||
gloor, 1950a|Gloor, H.|1950|Schadigungsmuster eines Letalfaktors (kr) von Drosophila melanogaster.|38-44|25|Arch. Klaus-Stift. VererbForsch.|pdf / 15.iv.1950 / 1950a|1950-04-15||||
gloor, 1950b|Gloor, H.|1950|Polyploidy in Drosophila larvae induced by cold treatement.|82|24|D. I. S.|pdf / xi.1950 / 1950b|1950-11-31||||
gloor, 1951a|Gloor, H.|1951|Vitalitat verschiedener Stamme von Drosophila melanogaster bei minimaler Ernahrung.|508-512|25|Arch. Klaus-Stift. VererbForsch.|pdf / 15.iii.1951 / 1951a|1951-03-15||1950||
gloor, 1951b|Gloor, H.|1951|Kaltepolyploidie in Ganglienzellen von Drosophila hydei.|520-521|58|Revue suisse Zool.|pdf / vi.1951 / 1951b|1951-06-31||||
gloor, 1955|Gloor, H.|1955|Phanotypus der Heterozygoten bei der unvollstandig dominanten homozygot letalen Mutante Kr (= Kruppel) von Drosophila melanogaster.|277-287|29|Arch. Klaus-Stift. VererbForsch.|pdf / 31.iii.1955|1955-03-31||1954||
gloor, 1962|Gloor, R.D.|1962|Untersuchungen uber die Wirkung der Letalfaktoren l 52 und l 8 von Drosophila melanogaster.|409-463|69|Revue suisse Zool.|pdf / part / x.1962|1962-10-31||||
gloss et al., 2014|Gloss, A.D.|2014|Evolution in an Ancient Detoxification Pathway Is Coupled with a Transition to Herbivory in the Drosophilidae.|2441-2456|31|Molec. Biol. Evol.|pdf|||||
glotov & pesheva, 1984|Glotov, N.V. & Pesheva, M.G.|1984|Anomalii ilkovanija krila i kolitsestvennie morfologitseskie prisnaki v prirodnoi populjatsii Drosophila melanogaster. (in Russian, with English summary).|101-104|1984|Vest. Leningr. Univ.|pdf / p 813797:1984/9||p 813797:1984|||
glotov & tarakanov, 1985|Glotov, N.V. & Tarakanov, V.V.|1985|The norm of reaction and genotype-environment interaction in a natural population. (in Russian, with English summary).|760-770|46|Zh. obshch. Biol.|pdf / p 812365||p 812365|||
glover, 1972|Glover, T.J.|1972|An experimental examination of the optimum fitness model using body weight and some fitness traits in Drosophila melanogaster.|6226|32|Diss. Abstr.|pdf|||||
gmelin, 1790|Gmelin, J.C.|1790|Caroli Linnaei Systema Naturae, edit. 13, tomus I, pars V, pp. 2225-3020.||||pdf / part / nnn 1571 / 6.xii.1790|1790-12-06||||
gnaspini & trajano, 2000|Gnaspini, P. & Trajano, E.|2000|Guano communities in tropical caves.|251-268||Elsevier, Amsterdam|pdf||||Wilkins, H. & Culver, D.C. & and Humphreys, W.F.|Ecosystems of the World 30. Subterranean Ecosystems
gnaspini, 1989a|Gnaspini Netto, P.|1989|Analise comparativa da fauna associada a depositos de guano de morcegos cavernicolas no Brazil. Primeira aproximacao.|183-192|33|Revta bras. Ent.|pdf / 1989a|||||
gnaspini, 1989b|Gnaspini-Netto, P.|1989|Fauna associated with bat guano deposits from Brazilian caves (a comparison). (Abstract).|52-54|10|Int. Congr. Speleology|pdf / 1989b|||||
gobert, 1887|Gobert, E.|1887|Catalogue des Dipteres de France. 88 pp.|||Delesques|pdf / part|||||
gockel et al., 2002|Gockel, J. & Robinson, S.J. & Kennington, W.J. & Goldstein, D.B. & Partridge, L.|2002|Quantitative genetic analysis of natural variation in body size in Drosophila melanogaster.|145-153|89|Heredity|pdf|||||
godan, 1957|Godan, D.|1957|Zur Kenntnis der Minierfliegen an Raps und Rubsen.|12|16|Mitt. dtsch. ent. Ges.|pdf|||||
godbole & vaidya, 1972a|Godbole, N.N. & Vaidya, V.G.|1972|A new species of Drosophilidae from Poona (India): Zaprionus (Zaprionus) paravittiger sp. nov.|135-136|48|D. I. S.|pdf / iii.1972 / 1972a|1972-03-31||||
godbole & vaidya, 1972b|Godbole, N.N. & Vaidya, V.G.|1972|A quantitative survey of Drosophilidae from Poona (India).|137|48|D. I. S.|pdf / iii.1972 / 1972b|1972-03-31||||
godbole & vaidya, 1973|Godbole, N.N. & Vaidya, V.G.|1973|Drosophilid survey of Mahabaleshwar.|141|50|D. I. S.|pdf / xii.1973|1973-12-31||||
godbole & vaidya, 1977|Godbole, N.N. & Vaidya, V.G.|1977|A new species of genus Leucophenga (Drosophilidae) from India: Leucophenga (Leucophenga) neoangusta sp. nov.|24|52|D. I. S.|pdf / v.1977|1977-05-31||||
godbole, 1976|Godbole, N.N.|1976|Chromosome Complement of Zaprionus (Zaprionus) paravittiger (Drosophilidae: Diptera).|197-198|1|Biovigyanam|pdf / p 817809||p 817809|1975||
goddard et al., 1990|Goddard, K. & Caccone, A. & Powell, J.R.|1990|Evolutionary implications of DNA divergence in the Drosophila obscura group.|1656-1670|44|Evolution|pdf|||||
godfrey, 1998a|Godfrey, A.|1998|Diptera associated with Quercus slime-fluxes in northern England.|63-64||Abstr. Int. Congr. Dipterol., 4:63-64.|pdf / 1998a||||Ismay, J.M.|Abstracts. Fourth International Congress of Dipterology, Oxford
godfrey, 1998b|Godfrey, A.|1998|The Diptera of Moccas Park National Nature Reserve.|44-48|5|Dipterist's Digest|pdf / 1998b|||||
godoy & araneda, 1987|Godoy-Herrera, R. & Araneda, j.c.|1987|The development of spicules of cuticle in Drosophila melanogaster.|67-68|66|D. I. S.|pdf / vi.1987|1987-06-31||||
godoy & fenner, 1984|Godoy-Herrera, R. & Fenner, H.|1984|Behavioral responses of Drosophila pavani adults to other members of the population.|41-54|7|Revta bras. Genet.|pdf / p 817964 / iii.1984|1984-03-31|p 817964|||
godoy & silva, 1997|Godoy-Herrera, R. & Silva, J.L.|1997|Larval prepupation behaviour of Drosophila pavani, Drosophila gaucha and their reciprocal hybrids.|813-826|134|Behaviour|pdf / part|||||
godoy & silva, 1998|Godoy-Herrera, R. & Silva-Cuadra, J.L.|1998|The behavior of sympatric Chilean populations of Drosophila larvae during pupation.|31-39|21|Genet. and Molec. Biol.|pdf / part / p817964||p817964|||
godoy et al., 1984|Godoy-Herrera, R. & Burnet, B. & Connolly, K. & Gogarty, J.|1984|The development of locomotor activity in Drosophila melanogaster larvae.|63-75|52|Heredity|pdf / ii.1984|1984-02-31||||
godoy et al., 1989|Godoy-Herrera, R. & Cifuentes, L. & Diaz de Arcaya, M.F. & Fernandez, M. & Fuentes, M. & Reyes, I. & Valderrama, C.|1989|The behaviour of Drosophila melanogaster larvae during pupation.|820-829|37|Anim. Behav.|pdf / part / p 814904 / v.1989|1989-05-31|p 814904|||
godoy et al., 1992|Godoy-Herrera, R. & Alarcon, M. & Caceres, H. & Loyola, I. & Navarrete, I. & Vega, J.L.|1992|The development of photoresponse in Drosophila melanogaster larvae.|91-101|65|Revta chil. Hist. nat.|pdf|||||
godoy et al., 1994a|Godoy-Herrera, R. & Burnet, B. & Connolly, K. & Grey, D. & Weir, I.|1994|Disruption of the structure of larval foraging behaviour in interspecific hybrids in Drosophila.|260-268|72|Heredity|pdf / iii.1994 / 1940a|1994-03-31||||
godoy et al., 1994b|Godoy-Herrera, R. & Santander, R. & Figueroa, J.|1994|A developmental and biometrical analysis of larval photoresponse of Drosophila.|251-262|48|Anim. Behav.|pdf / part / p 814904 / viii.1994 / 1994b|1994-08-31|p 814904|||
godoy et al., 1996|Godoy-Herrera, R. & Bustamente, M. & Campos, P. & Cancino, J.L.|1996|The development of larval behaviours in sympatric Chilean populations of Drosophila melanogaster and Drosophila simulans.|105-125|134|Behaviour|pdf / part / II.1997|||||
godoy et al., 2005|Godoy-Herrera, R. & Burnet, B. & Connolly, K.|2005|Hybrid disadvantage in the larval foraging behaviour of the two neotropical species of Drosophila pavani and Drosophila gaucha.|33-40|124|Genetica|pdf|||||
godoy, 1977|Godoy-Herrera, R.|1977|Inter- and Intrapopulational Variation in Digging in Drosophila melanogaster Larvae.|433-439|7|Behav. Genet.|pdf / p 814849 / xi.1977|1977-11-31|p 814849|||
godoy, 1978|Godoy-Herrera, R.|1978|Selection for Digging Behavior in Drosophila melanogaster Larvae.|475-479|8|Behav. Genet.|pdf / p 814849 / ix.1978|1978-09-31|p 814849|||
godoy, 1986|Godoy-Herrera, R.|1985|The development and genetics of digging behaviour in Drosophila larvae.|33-41|56|Heredity|pdf / ii.1986|1986-02-31||||
godoy, 1994a|Godoy-Herrera, R.|1994|Biometrical Analysis of Larval Digging Behavior in Drosophila melanogaster.|427-432|24|Behav. Genet.|pdf / part / p 814849 / ix.1994 / 1994a|1994-09-31|p 814849|||
godoy, 1994b|Godoy-Herrera, R.|1994|Desarrollo y genetica de patrones de movimiento en larvas del genero Drosophila.|171-174|21|Revta chil. Ent.|pdf / part / SEG 105 / 1994b|||||
godoy, 2001|Godoy-Herrera, R.|2001|La conducta de larvas de Drosophila (Diptera; Drosophilidae): su etologia, desarrollo, genetica y evolucion.|55-64|74|Revta chil. Hist. nat.|pdf / Ba 102|||||
godt et al.,. 1993|Godt, D. & Couderc, J.-L. & Cramton, S.E. & Laski, F.A.|1993|Pattern formation in the limbs of Drosophila: bric a brac is expressed in both a gradient and a wave-like pattern and is required for speciation and proper segmentation.|799-812|119|Development|pdf / p 819705||p 819705|||
goerick & kalisch, 1993|Goerick, S. & Kalisch, W.-E.|1993|Is dosage compensation female-regulated by a chromosome 2 factor in the D. nasuta subgroup?|105-107|72|D. I. S.|pdf / part / vii.1993|1993-07-31||||
goetghebuer, 1928|Goetghebuer, M.|1928|Note sur la Faune dipterologique des mares temporaires des dunes littorales.|189-192|68|Bull. Annls Soc. r. ent. Belg.|pdf / part / seg 53|||||
goetghebuer, 1930|Goetghebuer, M.|1930|Aspects de la faune entomologique de la region du Bas-Escaut.|147-162|23|Mem. Soc. ent. Belg.|pdf / part / seg 54|||||
goetghebuer, 1943|Goetghebuer, M.|1943|Faunule dipterologique des bois, en Flandre.|56-70|10|Biol. Jaarb.|pdf / xsn 2516|||||
goetsch, 1953|Goetsch, W.|1953|Beschleunigung der Entwicklungsgeschwindigkeit von Drosophila um 20 bis 30 %.|584-585|40|Naturwissenschaften|pdf / xi.1953|1953-11-31||||
goetsch, 1955a|Goetsch, W.|1955|Untersuchungen uber Verlangerung der Lebensdauer. (Versuche mit Drosophila melanogaster).|541|42|Naturwissenschaften|pdf / x.1955 / 1955a|1955-10-31||||
goetsch, 1955b|Goetsch, W.|1955|Untersuchungen uber Behebung von Alterserscheinungen.|204-226|27|Pubbl. Staz. zool. Napoli|pdf / usn 397 / xii.1955|1955-12-31||||
goetsch, 1956|Goetsch, W.|1956|Estudios sobre edad y vejez de los insectos y sustancias que intervienen en ellas.|185-213|32|Eos, Madr.|pdf / part / seg 675|||||
goetz & biesinger, 1983|Goetz, K.G. & Biesinger, R.|1983|Wind-controlled selection of motion detectors in the eyes of D. melanogaster.|39-40|59|D. I. S.|pdf / x.1983|1983-10-31||||
goetz & biesinger, 1985a|Goetz, K.G. & Biesinger, R.|1985|Centrophobism in Drosophila melanogaster. I. Behavioral modification induced by ether.|319-327|156|J. comp. Physiol.|pdf / iii.1985 / 1985a|1985-03-31||||
goetz & biesinger, 1985b|Goetz, K.G. & Biesinger, R.|1985|Centrophobism in Drosophila melanogaster. II. Physiological approach to search and search control.|329-337|156|J. comp. Physiol.|pdf / iii.1985 / 1985b|1985-03-31||||
goetz & buchner, 1978|Gotz, K.G. & Buchner, E.|1978|Evidence for One-Way Movement Detection in the Visual System of Drosophila.|243-248|31|Biol. Cybern.|pdf / p 300269||p 300269|||
goetz & wandel, 1984|Gotz, K.G. & Wandel, U.|1984|Optomotor Control of the Force of Flight in Drosophila and Musca. II. Covariance of Lift and Thrust in Still Air.|135-139|51|Biol. Cybern.|pdf / p 300269 / xi.1984|1984-11-31|p 300269|||
goetz & wehrhahn, 1984|Gotz, K.G. & Wehrhahn, C.|1984|Optomotor Control of the Force of Flight in Drosophila and Musca. I. Homology of Wingbeat-Inhibiting Movement Detectors.|129-134|51|Biol. Cybern.|pdf / p 300269 / xi.1984|1984-11-31|p 300269|||
goetz & wenking, 1973|Goetz, K.G. & Wenking, H.|1973|Visual Control of Locomotion in the Walking Fruitfly Drosophila.|235-266|85|J. comp. Physiol.|pdf / part / 16.viii.1973|1973-08-16||||
goetz, 1960|Gotz, W.|1960|Rassenbiometrische Studien an Insekten.|246-252|34|Arch. Klaus-Stift. VererbForsch.|pdf / 15.iii.1960 / 34|1960-03-15||1959||
goetz, 1964|Gotz, K.G.|1964|Optomotorische Untersuchung des visuellen Systems einiger Augenmutanten der Fruchtfliege Drosophila.|77-92|2|Kybernetik|pdf / part / p 300269 / vi.1964|1964-06-31|p 300269|||
goetz, 1965a|Gotz, W.|1965|Beitrag zur Kenntnis der Inversionen, Duplikationen und Strukturtypen von Drosophila subobscura Coll.|285-296|96|Z. VererbLehre|pdf / 19.vii.1965 / 64 / 1965a|1965-07-19||||
goetz, 1965b|Gotz, W.|1965|Chromosomaler Polymorphismus in einem Muster von Drosophila subobscura aus Marokko, mit Darstellung der Heterozygotieverhaltnisse als Heterozygotiediagramm.|40-45|97|Z. VererbLehre|pdf / 29.xi.1965 / 66 / 1965b|1965-11-29||||
goetz, 1965c|Gotz, K.G.|1965|Verhaltensanalyse des visuellen Systems der Fruchtfliege Drosophila.|346-365|1965|Mitt. Max-Planck-Ges.|pdf / part / p 813016 / 1965c||p 813016|||
goetz, 1965d|Gotz, K.G.|1965|Die optischen Ubertragungseigenschaften der Komplexaugen von Drosophila.|215-221|2|Kybernetik|pdf / part / p 300269 / vi.1965 / 1965d|1965-06-31|p 300269|||
goetz, 1967|Gotz, W.|1967|Untersuchungen uber den chromosomalen Strukturpolymorphismus in kleinasiatischen und persischen Populationen von Drosophila subobscura Coll.|1-38|100|Molec. gen. Genet.|pdf / 25.ix.1967 / 92|1967-09-25||||
goetz, 1968|Gotz, K.G.|1968|Flight Control in Drosophila by Visual Perception of Motion.|199-208|4|Kybernetik|pdf / part / p 300269 / vii.1968|1968-07-31|p 300269|||
goetz, 1970|Gotz, K.G.|1970|Fractionation of Drosophila populations according to optomotor traits.|419-436|52|J. exp. Biol.|pdf / iv.1970|1970-04-31||||
goetz, 1972|Gotz, K.G.|1972|Processing of Cues from the Moving Environment in the Drosophila Navigation System.|255-263||Springer|pdf / part / h 5019||||Wehner, R.|Information Processing in the Visual Systems of Arthropods
goetz, 1975|Gotz, K.G.|1975|The Optomotor Equilibrium of the Drosophila Navigation System.|187-210|99|J. comp. Physiol.|pdf / part / 2.vi.1975|1975-06-02||||
goetz, 1994|Gotz, K.G.|1994|Exploratory strategies in Drosophila.|47-59|39|Fortschr. Zool.|pdf / part / p 811345||p 811345|||
gojmerac & fox, 1962|Gojmerac, W.L. & Fox, L.F.|1962|Vaporized Dibrom for Control of Drosophila in Lemon Storage Houses.|220-221|55|J. econ. Ent.|pdf / p 812978 / iv.1962|1962-04-31|p 812978|||
golding et al., 1986|Golding, G.B. & Aquadro, C.F. & Langley, C.H.|1986|Sequence evolution within populations under multiple types of mutation.|427-431|83|Proc. Natl. Acad. Sci. USA|pdf / p 84978 / i.1986|1986-01-31|p 84978|||
goldman et al., 2015|Goldman-Huertas, B. & Mitchell, R.F. & Lapointe, R.T. & Faucher, C.P. & Hildebrand, J.G. & and Whiteman, N.K.|2015|Evolution of herbivory in Drosophilidae linked to loss of behaviors, antennal responses, odorant receptors, and ancestral diet.|3026-301|112|Proc. Natl. Acad. Sci. USA|pdf|||||
goldschmidt & falk, 1959|Goldschmidt, E. & Falk, R.|1959|On the dominance of "recessive" lethals.|1-8|8|Bull. Res. Coun. Israel|pdf / iii.1959|1959-03-31||||
goldschmidt & hadorn, 1959|Goldschmidt, E. & Hadorn, E.|1959|Host-transplant Interaction in Biosynthesis of Drosophila Pteridines.|316-329|7|J. Embryol. exp. Morphol.|pdf / ix.1959|1959-09-31||||
goldschmidt & lederman, 1958|Goldschmidt, E. & Lederman-Klein, A.|1958|Reoccurrence of a Forgotten Homeotic Mutant in Drosophila.|262-266|49|J. Hered.|pdf / xii.1958|1958-12-31||||
goldschmidt & piternick, 1957a|Goldschmidt, R.B. & Piternick, L.K.|1957|The genetic background of chemically induced phenocopies in Drosophila.|127-202|135|J. exp. Zool.|pdf / part / vi.1957|1957-06-31||||
goldschmidt & piternick, 1957b|Goldschmidt, R.B. & Piternick, L.K.|1957|The genetic background of chemically induced phenocopies in Drosophila. II.|201-228|136|J. exp. Zool.|pdf / part / xi.19578|||||
goldschmidt et al., 1952|Goldschmidt, E. & Wahrman, J. & Weiss, R. & Lederman-Klein, A.|1952|The seasonal cycle in the concentration of second-chromosome lethals in D. melanogaster.|102-103|26|D. I. S.|pdf / xi.1952|1952-11-31||||
goldschmidt et al., 1955|Goldschmidt, E. & Wahrman, J. & Lederman-Klein, A. & Weiss, R.|1955|A two years' survey of population dynamics in Drosophila melanogaster.|353-366|9|Evolution|pdf / xii.1955|1955-12-31||||
goldschmidt, 1945|Goldschmidt, R.B.|1945|Evolution of mouth parts in Diptera: A counter critique.|41-47|21|Pan-Pacif. Ent.|pdf / part / seg 796 / iv.1945|1945-04-31||||
goldschmidt, 1952a|Goldschmidt, R.B.|1952|Homoeotic mutants and evolution.|87-104|10|Acta biotheor.|pdf / part / 1952a|||||
goldschmidt, 1952b|Goldschmidt, R.B.|1952|A further study of homoeosis in Drosophila melanogaster.|405-460|119|J. exp. Zool.|pdf / part / iv.1952 / 1952b|1952-04-31||||
goldschmidt, 1952c|Goldschmidt, E.|1952|The influence of temperature on synapsis in hybrid salivary glands.|67-73|103|Biol. Bull., Wood's Hole|pdf / p 811763 / viii.1952 / 1952c|1952-08-31|p 811763|||
goldschmidt, 1956a|Goldschmidt, E.|1956|Structural polymorphism in the Israel race of Drosophila subobscura (Abstract).|316-319|5|Bull. Res. Coun. Israel|pdf / 1956a|||||
goldschmidt, 1956b|Goldschmidt, E.|1956|Chromosomal polymorphism in a population of Drosophila subobscura from Israel.|474-496|54|J. Genet.|pdf / xi.1956 / 1965b|1956-11-31||||
goldschmidt, 1958|Goldschmidt, E.|1958|Polymorphism and Coadaptation in Natural Populations of Drosophila subobscura.|821-828|2|Int. Congr. Entomol. 10|pdf / p 816326:10/2 / xii.1958|1958-12-31|p 816326:10|||
goldstein et al., 1974|Goldstein, R.B. & Miller, D.D. & Patty, R.A.|1974|Correction of some previously reported data concerning D. athabasca courtship sounds.|51|51|D. I. S.|pdf / xii.1974|1974-12-31||||
goldstein, 1927|Goldstein, B.|1927|An Empusa disease of Drosophila.|97-110|19|Mycologia|pdf / zu 18 / vi.1927|1927-06-31||||
golfari, 1937|Golfari, L.|1937|Contributi alla conoscenza dell'Entomofauna del pero (Pirus communis L.). I.|206-249|9|Boll. Ist. Ent. Univ. Bologna|pdf / part / seg 420 / 30.v.1937|1937-05-30||||
golubovsky & belyaeva, 1986|Golubovskii, M.D. & Belyaeva, E.S.|1986|Outbreak of mutations in nature and mobile genetic elements: Study of the series of alleles at the singed locus in Drosophila melanogaster.|1306-1312|21|Sov. Genet.|pdf / iv.1986|1986-04-31||10||
golubovsky & ivanov, 1972|Golubovsky, M.D. & Ivanov, Y.N.|1972|Autosomal mutation in Drosophila melanogaster killing the males and connected with female sterility.|117|49|D. I. S.|pdf / xi.1972|1972-11-31||||
golubovsky & viktorova, 1970|Golubovskii, M.D. & Viktorova, G.V.|1970|Concentration and allelism of lethal mutations in neighboring natural populations of Drosophila melanogaster in different years.|1023-1030|4|Sov. Genet.|pdf / p 813974||p 813974|8||
golubovsky & zakharov, 1972|Golubovsky, M.D. & Zaharov, I.K.|1972|The new autosomal mutation "almond eye" and its interaction with certain dominant mutants in Drosophila melanogaster.|112|49|D. I. S.|pdf / xi.1972|1972-11-31||||
golubovsky et al., 1975|Golubovsky, M.D. & Ivanov, Y.N. & Zakharov, I.K. & Berg, R.L.|1975|Investigation of synchronous and parallel changes in the gene pool in natural populations of the fruit fly Drosophila melanogaster.|469-477|10|Sov. Genet.|pdf / p 813974 / 10.xi.1975|1975-11-10|p 813974|4||
golubovsky et al., 1988|Golubovsky, M.D. & Zakharov, I.K. & Sokolova, O.A.|1988|Instability of alleles of the yellow gene analyzed for a natural population of Drosophila during a mutability outburst.|1126-1130|23|Sov. Genet.|pdf / part / p 813974 / iii.1988|1988-03-31|p 813974|9||
golubovsky, 1969c|Golubovsky, M.D.|1969|Distribution and allelism of autosomal lethals of two subpopulations of Drosophila melanogaster in the town of Uman (UkrSSR).|33-38|2|Sov. Genet.|pdf / p 813974 / 1969c||p 813974|11||
golubovsky, 1971|Golubovsky, M.D.|1971|Study of gene pool of lethal mutations in adjacent populations of fruit flies Drosophila melanogaster. (Abstract).|336|1|Int. Congr. Entomol. 13|pdf / p 816326:13/1||p 816326:13|||
golubovsky, 1972a|Golubovsky, M.D.|1972|Genetic analysis of certain lethal mutations isolated from natural populations of Drosophila melanogaster.|474-481|5|Sov. Genet.|pdf / p 813974 / iv.1972 / 1972a|1972-04-31|p 813974|4||
golubovsky, 1972b|Golubovsky, M.D.|1972|Viability of heterozygotes according to lethal mutations, possessing different concentrations in a natural population of Drosophila.|1063-1070|5|Sov. Genet.|pdf / p 813974 / viii.1972 / 1972b|1972-08-31|p 813974|8||
golubovsky, 1972c|Golubovsky, M.D.|1972|Seasonal dynamics of the pool of lethal mutations in three neighboring populations of Drosophila melanogaster.|59-70|6|Sov. Genet.|pdf / p 813974 / xii.1972 / 1972c|1972-12-31|p 813974|1||
golubovsky, 1978b|Golubovsky, M.D.|1978|Two types of instability of singed alleles isolated from populations of D. melanogaster during mutation outburst in 1973.|171|53|D. I. S.|pdf / vi.1978 / 1978b|1978-06-31||||
golubovsky, 1978c|Golubovsky, M.D.|1978|The "lethal giant larvae" - the most frequent second chromosome lethal in natural populations of D. melanogaster.|179|53|D. I. S.|pdf / vi.1978 / 1978c|1978-06-31||||
golubovsky, 1983|Golubovsky, M.D.|1983|Recessive sex-linked female-specific lethals at deltex locus discovered in natural populations of D. melanogaster.|42-43|59|D. I. S.|pdf / x.1983|1983-10-31||||
gomes et al., 2003|Gomes, L.H. & Echeverrigaray, S. & Conti, J.H. & Lourenco, M.V.M. & Duarte, K.M.R.|2003|Presence of the yeast Candida tropicalis in figs infected by the fruit fly Zaprionus indianus (Dip.: Drosophilidae).|5-7|34|Braz. J. Microbiol.|pdf|||||
gomez & najera, 1987a|Gomez, F. & Najera, C.|1987|Polymorphism of Adh in natural populations of D. melanogaster-D. simulans.|68-69|66|D. I. S.|pdf / vi.1987 / 1987a|1987-06-31||||
